ID,RANK,SEX,LENGTH,WEIGHT,GROUP,INFORMANT,TREATMENT,TIMEPOINT,ORIENT,MOVE,TOTAL,PERCENT,LEARNED,LEARN.RATE,DLG,DLV,DM1,DM3,VS,APPROACHES,APPROACH.AVG,APPROACH.DIFF,DISPLACEMENTS,DISPLACE.AVG,DISPLACE.DIFF,AGGEFF.TRIAL,AGGEFF.CUMUL,LINECROSS,LINECROSS.NORM,LINECROSS.NORM.LAST.4.AVG,LINECROSS.NORM.AVG
51,fem,female,38.4,1.52,sub4,SUB,DEMONSTRATOR,6,5,1,4,57,NO,not,0.019821,0.016385,0.0270123,0.013039742,0.01532852,9,11,7,6,6.5,4,0.666666667,0.590909091,110,13.75,12.1875,10.77083333
67,dom,male,42,2.14,dom10,DOM,DEMONSTRATOR,14,5,4,7,100,YES,early,0.02391302,0.0099135,0.0178121,0.017393,0.02196212,27,10.14285714,25,25,8,23,0.925925926,0.788732394,185,23.125,17.9375,17.6
2,sub,male,41,2,dom10,DOM,DEMONSTRATOR,14,5,4,7,100,YES,early,0.017660224,0.007189425,0.01509228,0.032273653,0.021547259,27,10.14285714,25,25,8,23,0.925925926,0.788732394,185,23.125,17.9375,17.6
69,fem,female,39,1.58,dom10,DOM,DEMONSTRATOR,14,5,4,7,100,YES,early,0.0231093,0.019385,0.01572919,0.0119836,0.022542011,27,10.14285714,25,25,8,23,0.925925926,0.788732394,185,23.125,17.9375,17.6
76,sub,male,41,2.16,dom11,DOM,DEMONSTRATOR,14,5,4,6,86,YES,early,0.021578841,0.009734395,0.017147231,0.010992357,0.032155629,12,12.64285714,6,10,11.21428571,5,0.833333333,0.88700565,101,12.625,9.5,9.2125
77,dom,male,42,2.31,dom11,DOM,DEMONSTRATOR,14,5,4,6,86,YES,early,0.018966939,0.011041871,0.01189571,0.013457617,0.027173345,12,12.64285714,6,10,11.21428571,5,0.833333333,0.88700565,101,12.625,9.5,9.2125
78,fem,female,40,1.868,dom11,DOM,DEMONSTRATOR,14,5,4,6,86,YES,early,0.02555011,0.019885548,0.01699201,0.018764679,0.038994089,12,12.64285714,6,10,11.21428571,5,0.833333333,0.88700565,101,12.625,9.5,9.2125
97,dom,male,48,3.05,dom13,DOM,DEMONSTRATOR,14,5,4,7,100,YES,early,0.02541834,0.008943,0.01583433,0.009473721,0.023993646,13,16.92857143,-10,12,15.21428571,-5,0.923076923,0.898734177,121,15.125,12.78125,11.1
96,sub,male,50,2.89,dom13,DOM,DEMONSTRATOR,14,5,4,7,100,YES,early,0.02917312,0.01774693,0.0119833,0.011952801,0.019274001,13,16.92857143,-10,12,15.21428571,-5,0.923076923,0.898734177,121,15.125,12.78125,11.1
98,sub,male,45,2.23,dom13,DOM,DEMONSTRATOR,14,5,4,7,100,YES,early,0.023901346,0.0164935,0.01257523,0.01320388,0.0182633,13,16.92857143,-10,12,15.21428571,-5,0.923076923,0.898734177,121,15.125,12.78125,11.1
99,fem,female,42,1.75,dom13,DOM,DEMONSTRATOR,14,5,4,7,100,YES,early,0.02984636,0.0189358,0.01903398,0.012291854,0.03002641,13,16.92857143,-10,12,15.21428571,-5,0.923076923,0.898734177,121,15.125,12.78125,11.1
70,dom,male,58,4.98,sub9,SUB,DEMONSTRATOR,14,2,4,4,57,YES,early,0.02741904,0.008853,0.01838769,0.01195032,0.034462173,0,5.142857143,-1,0,3.071428571,-1,0,0.597222222,119,14.875,10.40625,10.925
71,sub,male,54,4.22,sub9,SUB,DEMONSTRATOR,14,2,4,4,57,YES,early,0.023729173,0.01231034,0.002475006,0.011761947,0.033926611,0,5.142857143,-1,0,3.071428571,-1,0,0.597222222,119,14.875,10.40625,10.925
72,fem,female,40.5,1.63,sub9,SUB,DEMONSTRATOR,14,2,4,4,57,YES,early,0.023813695,0.015689674,0.0104833,0.015104609,0.044199551,0,5.142857143,-1,0,3.071428571,-1,0,0.597222222,119,14.875,10.40625,10.925
73,dom,male,56.5,5,sub10,SUB,DEMONSTRATOR,14,3,4,8,100,YES,early,0.030379136,0.016469061,0.019356018,0.002474926,0.032878997,10,9.857142857,9,6,5.285714286,5,0.6,0.536231884,131,16.375,12.75,12.5875
74,sub,male,53,4.9,sub10,SUB,DEMONSTRATOR,14,3,4,8,100,YES,early,0.021098548,0.010953754,0.00914233,0.015291092,0.049329935,10,9.857142857,9,6,5.285714286,5,0.6,0.536231884,131,16.375,12.75,12.5875
75,fem,female,40,1.68,sub10,SUB,DEMONSTRATOR,14,3,4,8,100,YES,early,0.026033318,0.017211145,0.010488353,0.011874958,0.05206581,10,9.857142857,9,6,5.285714286,5,0.6,0.536231884,131,16.375,12.75,12.5875
79,sub,male,58.5,5.56,sub11,SUB,DEMONSTRATOR,14,3,5,6,86,YES,early,0.0172181,0.014150046,0.021148214,0.011048456,0.016967107,4,6.571428571,2,1,4.142857143,0,0.25,0.630434783,120,15,16.09375,14.1375
80,dom,male,61.5,5.68,sub11,SUB,DEMONSTRATOR,14,3,5,6,86,YES,early,0.038675086,0.011901089,0.018606673,0.015185841,0.014331942,4,6.571428571,2,1,4.142857143,0,0.25,0.630434783,120,15,16.09375,14.1375
81,fem,female,46.5,2.58,sub11,SUB,DEMONSTRATOR,14,3,5,6,86,YES,early,0.02618954,0.016815387,0.01305648,0.011404189,0.01587392,4,6.571428571,2,1,4.142857143,0,0.25,0.630434783,120,15,16.09375,14.1375
40,dom,male,48,3.38,dom5,DOM,DEMONSTRATOR,22,2,1,1,14,NO,not,0.031838737,0.01679404,0.024444843,0.008396188,0.036815665,14,17.81818182,9,13,14.5,10,0.928571429,0.81377551,125,15.625,15.03125,8.5625
90,sub,male,38,1.47,dom5,DOM,DEMONSTRATOR,22,2,1,1,14,NO,not,0.0204738,0.0098346,0.00783483,0.00926391,0.022642033,14,17.81818182,9,13,14.5,10,0.928571429,0.81377551,125,15.625,15.03125,8.5625
41,fem,female,45,2.31,dom5,DOM,DEMONSTRATOR,22,2,1,1,14,NO,not,0.011895839,0.009412,0.025449247,0.01262875,0.03615112,14,17.81818182,9,13,14.5,10,0.928571429,0.81377551,125,15.625,15.03125,8.5625
52,dom,male,51,3.64,dom7,DOM,DEMONSTRATOR,22,5,5,8,100,YES,early,0.0251649,0.0120954,0.008816216,0.00503794,0.02615191,14,19.45454545,-8,14,17,-5,1,0.873831776,130,16.25,10.125,10.325
