GROUP,INFORMANT,TREATMENT,CONTEXT,LEARN.RATE,TIMEPOINT,TRIAL,ORIENT,MOVE,SOCIAL,TOTAL,PROPORTION,PERCENT,APPROACHES,APPROACH.AVG,APPROACH.DIFF,DISPLACEMENTS,DISPLACE.AVG,DISPLACE.DIFF,AGGEFF.TRIAL,AGGEFF.TOTAL,AGGEFF.CUMUL,APPROACHED,DISPLACED,LINECROSS,LINECROSS.NORM,LINECROSS.NORM.LAST.4.AVG,LINECROSS.NORM.AVG
dom11,dom,social,group,early,fourteen,7,5,3,3,6,0.86,86,14,,,11,,,0.785714286,0.88700565,,0,0,82,10.25,9.5,
dom11,dom,social,group,early,fourteen,8,5,4,2,6,0.86,86,10,,,9,,,0.9,0.88700565,,0,0,78,9.75,,
dom11,dom,social,group,early,fourteen,9,4,4,2,6,0.86,86,14,,,13,,,0.928571429,0.88700565,,0,0,79,9.875,,
dom11,dom,social,group,early,fourteen,10,5,4,3,7,1,100,18,,,18,,,1,0.88700565,,0,0,86,10.75,,
dom11,dom,social,group,early,fourteen,11,5,5,3,8,1,100,9,,,8,,,0.888888889,0.88700565,,0,0,88,11,,
dom11,dom,social,group,early,fourteen,12,3,3,0,3,0.43,43,16,,,15,,,0.9375,0.88700565,,0,0,92,11.5,,
dom11,dom,social,group,early,fourteen,13,7,7,0,7,1,100,14,,,13,,,0.928571429,0.88700565,,0,0,91,11.375,,
dom11,dom,social,group,early,fourteen,14,5,4,2,6,0.86,86,12,,,10,,,0.833333333,0.88700565,,0,0,101,12.625,,9.2125
dom13,dom,social,group,early,fourteen,1,1,1,0,1,0.14,14,23,16.92857143,-10,17,15.21428571,-5,0.739130435,0.898734177,0.898734177,,,75,9.375,,
dom13,dom,social,group,early,fourteen,2,1,1,2,3,0.43,43,18,,,16,,,0.888888889,0.898734177,,,,78,9.75,,
dom13,dom,social,group,early,fourteen,3,1,4,1,5,0.71,71,15,,,15,,,1,0.898734177,,,,69,8.625,,
dom13,dom,social,group,early,fourteen,4,4,2,2,4,0.57,57,22,,,20,,,0.909090909,0.898734177,,,,79,9.875,,
dom13,dom,social,group,early,fourteen,5,2,2,1,3,0.43,43,24,,,20,,,0.833333333,0.898734177,,,,88,11,,
dom13,dom,social,group,early,fourteen,6,3,2,2,4,0.57,57,19,,,19,,,1,0.898734177,,,,90,11.25,,
dom13,dom,social,group,early,fourteen,7,1,1,0,1,0.14,14,18,,,18,,,1,0.898734177,,,,101,12.625,,
dom13,dom,social,group,early,fourteen,8,1,1,1,1,0.14,14,15,,,13,,,0.866666667,0.898734177,,,,105,13.125,,
dom13,dom,social,group,early,fourteen,9,2,1,3,4,0.57,57,10,,,9,,,0.9,0.898734177,,,,103,12.875,,
dom13,dom,social,group,early,fourteen,10,4,2,3,5,0.71,71,14,,,12,,,0.857142857,0.898734177,,,,100,12.5,12.78125,
dom13,dom,social,group,early,fourteen,11,4,2,3,5,0.71,71,15,,,15,,,1,0.898734177,,,,110,13.75,,
dom13,dom,social,group,early,fourteen,12,4,2,3,5,0.71,71,17,,,16,,,0.941176471,0.898734177,,,,112,14,,
dom13,dom,social,group,early,fourteen,13,4,3,3,6,0.86,86,14,,,11,,,0.785714286,0.898734177,,,,115,14.375,,
dom13,dom,social,group,early,fourteen,14,5,4,3,7,1,100,13,,,12,,,0.923076923,0.898734177,,,,121,15.125,,11.1
dom5,dom,social,group,not,twentytwo,1,4,1,0,1,0.14,14,5,17.81818182,9,3,14.5,10,0.6,0.81377551,0.81377551,,,67,8.375,,
dom5,dom,social,group,not,twentytwo,2,2,1,0,2,0.29,29,29,,,23,,,0.793103448,0.81377551,,,,58,7.25,,
dom5,dom,social,group,not,twentytwo,3,2,1,2,3,0.43,43,29,,,23,,,0.793103448,0.81377551,,,,68,8.5,,
dom5,dom,social,group,not,twentytwo,4,2,3,5,8,1,100,31,,,24,,,0.774193548,0.81377551,,,,63,7.875,,
dom5,dom,social,group,not,twentytwo,5,1,1,3,4,0.57,57,24,,,19,,,0.791666667,0.81377551,,,,65,8.125,,
dom5,dom,social,group,not,twentytwo,6,3,2,4,6,0.86,86,28,,,17,,,0.607142857,0.81377551,,,,71,8.875,,
dom5,dom,social,group,not,twentytwo,7,3,2,1,3,0.43,43,20,,,16,,,0.8,0.81377551,,,,71,8.875,,
dom5,dom,social,group,not,twentytwo,8,2,2,4,6,0.86,86,18,,,15,,,0.833333333,0.81377551,,,,79,9.875,,
dom5,dom,social,group,not,twentytwo,9,4,3,0,3,0.43,43,21,,,19,,,0.904761905,0.81377551,,,,65,8.125,,
dom5,dom,social,group,not,twentytwo,10,5,0,0,0,0,0,15,,,13,,,0.866666667,0.81377551,,,,78,9.75,,
dom5,dom,social,group,not,twentytwo,11,6,1,2,3,0.43,43,16,,,13,,,0.8125,0.81377551,,,,89,11.125,,
dom5,dom,social,group,not,twentytwo,12,3,1,3,4,0.57,57,9,,,8,,,0.888888889,0.81377551,,,,84,10.5,,
dom5,dom,social,group,not,twentytwo,13,2,1,0,1,0.14,14,16,,,14,,,0.875,0.81377551,,,,90,11.25,,
dom5,dom,social,group,not,twentytwo,14,4,2,3,5,0.71,71,16,,,15,,,0.9375,0.81377551,,,,97,12.125,,
dom5,dom,social,group,not,twentytwo,15,1,2,0,2,0.29,29,23,,,21,,,0.913043478,0.81377551,,,,101,12.625,,
